episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
520,1.0,3.05005069480061,0.6832477373974218,0.01820285876855589,15.0364,2.4992,11,0.0,False,True,0.7925417616427644,0,17.671677230923088,1597466859.703698,in_progress
520,2.0,3.053836955596404,0.6830775584500306,-0.04703567093284799,10.9292,1.6206,18,0.0,False,True,0.8139670042149242,0,17.671677230923088,1597466859.7703054,in_progress
520,3.0,3.0697580126193147,0.6824679945081893,-0.2588251283120176,-2.5161,1.5089,7,0.0,False,True,0.9040594038933175,0,17.671677230923088,1597466859.8427548,in_progress
520,4.0,3.101302819100801,0.6813195987956542,-0.6092813315316253,-1.9012,2.0975,9,0.0,False,True,1.082561950603387,0,17.671677230923088,1597466859.904267,in_progress
520,5.0,3.1414959387637333,0.6797806991128413,-1.002548189695902,1.1297,3.0132,3,13.042760485892028,False,True,1.310002540414894,1,17.671677230923088,1597466859.9715412,in_progress
520,6.0,3.203393604696629,0.6773532045262168,-1.4500809779911987,6.3676,2.1491,0,0.0,False,True,1.6602624128472039,1,17.671677230923088,1597466860.0453675,in_progress
520,7.0,3.268420665388044,0.675533813469159,-1.4971641645243337,10.9292,1.6206,18,0.0,False,True,2.02823204717828,1,17.671677230923088,1597466860.1091464,in_progress
520,8.0,3.354747657072788,0.6759517632555779,-0.6096170199596852,1.1297,3.0132,3,12.961154177461358,False,True,2.5167376624670967,1,17.671677230923088,1597466860.1726272,in_progress
520,9.0,3.464851034053026,0.6799807432416466,0.9389929347602644,-4.2161,2.5401,1,0.0,False,True,3.1397957282205895,2,17.671677230923088,1597466860.2396846,in_progress
520,10.0,3.5673222702577947,0.6840719570896642,1.6555278251907353,-4.2161,2.5401,1,0.0,False,True,3.7196653747945154,3,17.671677230923088,1597466860.3084621,in_progress
520,11.0,3.699668407027708,0.6893933023450639,2.045813137648894,1.1297,3.0132,3,14.499118970819875,False,True,4.468592763023653,3,17.671677230923088,1597466860.3755116,in_progress
520,12.0,3.865242881811098,0.6985640581194379,2.975342062351565,-2.5161,1.5089,7,0.0,False,True,5.4055595300580945,3,17.671677230923088,1597466860.4403565,in_progress
520,13.0,3.992783843514561,0.7051273492882943,3.4732033648303404,-10.3927,3.0454,6,16.85006386748169,False,True,6.1272980403469015,4,17.671677230923088,1597466860.5060322,in_progress
520,14.0,4.081818550921313,0.7094805141435775,3.1216842782497336,-2.5161,1.5089,7,0.0,False,True,6.631133962934861,4,17.671677230923088,1597466860.572886,in_progress
520,15.0,4.284564384897802,0.7127575919291462,0.9307603186499477,-2.5161,1.5089,7,0.0,False,True,7.778433056029928,4,17.671677230923088,1597466860.638222,in_progress
520,16.0,4.411817543098638,0.7128485522131945,0.3564924496402056,10.9292,1.6206,18,13.480004310157124,False,True,8.49852985796225,5,17.671677230923088,1597466860.7049017,in_progress
520,17.0,4.53682738543301,0.7131131961629817,0.2521326244416261,-2.5161,1.5089,7,14.333897614356886,False,True,9.205932598089985,6,17.671677230923088,1597466860.7757735,in_progress
520,18.0,4.657186798394206,0.7144387712442749,0.4513975492067067,30.0,1.33,19,13.406186793562707,False,True,9.887021764680712,6,17.671677230923088,1597466860.8400607,in_progress
520,19.0,4.751804686508271,0.7168647599405565,0.9444575471887674,10.9292,1.6206,18,14.777010127232362,False,True,10.42244773553872,6,17.671677230923088,1597466860.9086301,in_progress
520,20.0,4.861270731813353,0.7232435307670826,2.2818373992111347,6.2478,1.4259,2,13.580613485228636,False,True,11.041904040382072,6,17.671677230923088,1597466860.975985,in_progress
520,21.0,4.959766253528124,0.7306660531858727,3.3312531263437326,-1.9012,2.0975,9,17.07803960011901,False,True,11.599282764274191,7,17.671677230923088,1597466861.041906,in_progress
520,22.0,5.063862275498242,0.7385138393645558,3.859016636424912,-1.9012,2.0975,9,13.380671921632093,False,True,12.18835430294526,7,17.671677230923088,1597466861.106688,in_progress
520,23.0,5.18970467496857,0.7483279837887648,4.2205815961475714,-12.2963,2.0967,17,13.324411095011651,False,True,12.900487613384728,7,17.671677230923088,1597466861.1764462,in_progress
520,24.0,5.320802356408836,0.7543535258465298,3.0726909336510255,-11.4403,1.6308,15,11.918426205427739,False,True,13.642351702093725,7,17.671677230923088,1597466861.2416403,in_progress
520,25.0,5.4457267861917655,0.7546083940773114,1.1397276576893405,-11.4403,1.6308,15,12.787863248578645,False,True,14.349271092283722,8,17.671677230923088,1597466861.307889,in_progress
520,26.0,5.568745080769002,0.749974737702412,-0.8668665899688194,-1.9012,2.0975,9,15.754800360038132,False,True,15.045394208009858,8,17.671677230923088,1597466861.3753047,in_progress
520,27.0,5.693843310916567,0.742583794352316,-2.3824368284141353,-2.5161,1.5089,7,16.06970532029725,False,True,15.753281626891166,9,17.671677230923088,1597466861.4444294,in_progress
520,28.0,5.8030255270156115,0.7334034394113403,-3.75372880940191,-2.5161,1.5089,7,15.152221776827776,False,True,16.375309792453628,9,17.671677230923088,1597466861.5110652,in_progress
