episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
80,1.0,3.050003508093754,0.6832586644386763,0.026969584756680508,-10.3927,3.0454,6,13.078653218365872,False,True,0.7922747649308284,0,17.671677230923088,1597461476.3701036,in_progress
80,2.0,3.052647927001473,0.6833137421274581,0.04123582566514613,10.9292,1.6206,18,0.0,False,True,0.807239040222562,0,17.671677230923088,1597461476.4353275,in_progress
80,3.0,3.0659163054989267,0.6842257877721042,0.3512466794342835,-11.4403,1.6308,15,0.0,False,True,0.8823236150527091,0,17.671677230923088,1597461476.5032535,in_progress
80,4.0,3.099241653732442,0.685787975317977,0.8367436279349468,-2.5161,1.5089,7,0.0,False,True,1.0709073253858643,0,17.671677230923088,1597461476.567173,in_progress
80,5.0,3.135733994828487,0.687892552471029,1.4045344292411244,-4.2161,2.5401,1,0.0,False,True,1.277413423775375,1,17.671677230923088,1597461476.6394484,in_progress
80,6.0,3.199043278092361,0.6907888242101388,1.827964763431775,-10.3927,3.0454,6,12.778487355253358,False,True,1.6356720872536,1,17.671677230923088,1597461476.700905,in_progress
80,7.0,3.2708828291058203,0.6914373466820367,1.2651475731179835,-2.5161,1.5089,7,0.0,False,True,2.042197044315784,1,17.671677230923088,1597461476.7666104,in_progress
80,8.0,3.3522609137993533,0.691926764263737,0.7751908175059754,-4.2161,2.5401,1,0.0,False,True,2.502698067511371,1,17.671677230923088,1597461476.8364367,in_progress
80,9.0,3.4522157459646063,0.6904131709932179,-0.1341333860408407,-4.2161,2.5401,1,0.0,False,True,3.068316618302517,2,17.671677230923088,1597461476.9039302,in_progress
80,10.0,3.570464350728815,0.6855005937385378,-1.4578353222418923,-4.2161,2.5401,1,0.0,False,True,3.7374485822400847,3,17.671677230923088,1597461476.9696784,in_progress
80,11.0,3.6939978307407477,0.6779820063531684,-2.6874607920696825,10.9292,1.6206,18,0.0,False,True,4.436481178519669,3,17.671677230923088,1597461477.0354764,in_progress
80,12.0,3.8176435498073866,0.6687784076929991,-3.8545710234054704,-1.9012,2.0975,9,0.0,False,True,5.136145501143641,3,17.671677230923088,1597461477.1064897,in_progress
80,13.0,3.9675693083344354,0.6549522489824741,-4.835304249908533,-2.5161,1.5089,7,0.0,False,True,5.984513225431091,4,17.671677230923088,1597461477.1680138,in_progress
80,14.0,4.083464422308238,0.6413484502005457,-5.861939690747344,6.3676,2.1491,0,13.112737324431716,False,True,6.6403097385195915,4,17.671677230923088,1597461477.2392592,in_progress
80,15.0,4.2223240500515615,0.62416037901838,-6.60504482210427,-1.9012,2.0975,9,12.730886469205565,False,True,7.426049949603733,4,17.671677230923088,1597461477.302519,in_progress
80,16.0,4.36180319006345,0.6062601688589169,-7.089067249902763,24.5451,1.4794,5,0.0,False,True,8.215294398710519,5,17.671677230923088,1597461477.3708422,in_progress
80,17.0,4.503926718541878,0.5894661233349466,-6.763198998175216,-2.5161,1.5089,7,0.0,False,True,9.019505077264451,5,17.671677230923088,1597461477.4352582,in_progress
80,18.0,4.581812491818913,0.5821800707326329,-6.156254346662238,-4.2161,2.5401,1,11.442037890459137,False,True,9.460228175877768,6,17.671677230923088,1597461477.5031834,in_progress
80,19.0,4.73890716613542,0.5647593137182629,-6.464544187539202,-2.5161,1.5089,7,9.290856250312975,False,True,10.349155888534325,6,17.671677230923088,1597461477.572377,in_progress
80,20.0,4.865298316570777,0.5502455043322052,-6.6805760547855675,2.8836,1.7599,4,10.509850939105249,False,True,11.064345238626967,6,17.671677230923088,1597461477.6409683,in_progress
80,21.0,4.9828526311052155,0.5389095736165366,-5.937342362725326,2.8836,1.7599,4,11.689194485036147,False,True,11.729535377552585,7,17.671677230923088,1597461477.706468,in_progress
80,22.0,5.0895585855527266,0.5305596236930318,-5.139585260183952,2.8836,1.7599,4,11.431561095599761,False,True,12.333343160200366,7,17.671677230923088,1597461477.7718055,in_progress
80,23.0,5.2333325556828045,0.5211401622242926,-4.20691216663264,2.8836,1.7599,4,8.587006611191647,False,True,13.146908231130002,7,17.671677230923088,1597461477.8412383,in_progress
80,24.0,5.355072393405563,0.5146480764801656,-3.511238181145688,2.8836,1.7599,4,8.702952275439472,False,True,13.835793091190931,7,17.671677230923088,1597461477.9037468,in_progress
80,25.0,5.451044827061508,0.5104777548962693,-2.992999506462335,2.8836,1.7599,4,9.744575387886698,False,True,14.378870781782616,8,17.671677230923088,1597461477.9711595,in_progress
80,26.0,5.602460747514622,0.5054607891081356,-2.2342476976700767,2.8836,1.7599,4,9.489603508754591,False,True,15.235688814314772,9,17.671677230923088,1597461478.0415545,in_progress
80,27.0,5.713277075126989,0.5028898139844701,-1.7237127578888187,10.9292,1.6206,18,9.737992665384802,False,True,15.8627679530703,9,17.671677230923088,1597461478.106201,in_progress
80,28.0,5.830453407582186,0.5036546068286495,-0.595450718198851,10.9292,1.6206,18,9.237101458694951,False,True,16.510298038734685,9,17.671677230923088,1597461478.1737483,in_progress
80,29.0,5.94920343155647,0.5090904209973808,1.2485003683167266,15.2953,1.3843,14,9.076776639780881,False,True,17.182674231784755,9,17.671677230923088,1597461478.237234,in_progress
80,30.0,6.04964077020296,0.5199067042700842,3.8062404749811964,30.0,1.33,19,8.326832556790702,False,True,17.75190870539267,10,17.671677230923088,1597461478.304826,in_progress
80,31.0,6.150804211195756,0.5388281169508109,7.389802834135455,30.0,1.33,19,8.924092949983077,False,True,18.325964191501836,10,17.671677230923088,1597461478.374897,in_progress
80,32.0,6.248213413134441,0.5669127968244131,11.889758039083757,6.2478,1.4259,2,10.513885484141127,False,True,18.879583557461473,10,17.671677230923088,1597461478.4404132,in_progress
80,33.0,6.324043454919359,0.5955389079138126,15.817017636068059,24.5451,1.4794,5,10.059290212045315,False,True,19.25437332271435,10,17.671677230923088,1597461478.5080345,in_progress
80,34.0,6.420830418473117,0.6423307091529793,21.395876154226645,6.2478,1.4259,2,10.743400034928253,False,True,19.82928947875887,11,17.671677230923088,1597461478.5729613,in_progress
80,35.0,6.501391038096972,0.6898149916566816,25.89254858663287,12.4134,3.1283,16,0.0,False,True,20.306126583143936,12,17.671677230923088,1597461478.6453772,in_progress
80,36.0,6.5860579056476185,0.7492661067706661,30.983077284755755,24.5451,1.4794,5,10.229672334395582,False,True,20.84309429554558,12,17.671677230923088,1597461478.7103076,in_progress
80,37.0,6.661979585452955,0.8167479912812701,36.479264577200055,6.2478,1.4259,2,10.684975078255066,False,True,21.385830028787257,13,17.671677230923088,1597461478.7763653,in_progress
80,38.0,6.740354032716531,0.9014708002347045,42.71139259332753,24.5451,1.4794,5,9.229487075567155,False,True,22.04796362889636,14,17.671677230923088,1597461478.8390443,in_progress
80,39.0,6.793736721071916,0.9715335290121813,47.41462089039267,24.5451,1.4794,5,12.941266610093336,False,True,22.579934612644966,14,17.671677230923088,1597461478.9057345,in_progress
80,40.0,6.843512309058057,1.0513727521916716,52.754839349442655,6.2478,1.4259,2,12.318730200251673,False,True,23.082292877330936,15,17.671677230923088,1597461478.9739392,in_progress
80,41.0,6.887097483588485,1.139623313052584,58.41718096411342,6.2478,1.4259,2,13.102152585998935,False,True,23.824518101596944,15,17.671677230923088,1597461479.0400379,in_progress
80,42.0,6.925425181596439,1.2349404116152018,63.56638113596182,6.2478,1.4259,2,16.012452557357534,False,True,24.386004773753,16,17.671677230923088,1597461479.1104183,in_progress
80,43.0,6.953400170456703,1.3195929289811592,67.46901229873835,6.3676,2.1491,0,13.626398314756301,False,True,25.0388540138213,17,17.671677230923088,1597461479.174036,in_progress
80,44.0,6.980090648298356,1.4215971137563725,71.84863675247233,6.2478,1.4259,2,16.512460905800634,False,True,25.976609065647278,17,17.671677230923088,1597461479.2412977,in_progress
80,45.0,6.995634869599371,1.5013844174004976,75.05737750610116,30.0,1.33,19,17.816987785059688,False,True,26.436354741178743,17,17.671677230923088,1597461479.309023,in_progress
80,46.0,7.009407152908087,1.614837122445283,79.62670155032633,2.8836,1.7599,4,15.27195820756945,False,True,27.079577491318712,18,17.671677230923088,1597461479.3715396,in_progress
80,47.0,7.0105654419335295,1.7405259403643605,85.82277807686562,6.2478,1.4259,2,0.0,False,False,27.774389215955676,18,17.671677230923088,1597461479.4447534,in_progress
80,48.0,7.003624969592948,1.8204971180082477,89.80270685334193,10.9292,1.6206,18,0.0,False,False,29.095700250028482,20,17.671677230923088,1597461479.5087624,in_progress
80,49.0,6.9847263740426095,1.9263916392811942,95.55357353888502,-10.3927,3.0454,6,0.0,False,False,29.695050251846546,20,17.671677230923088,1597461479.5767713,in_progress
80,50.0,6.958256666849636,2.027518416011955,100.64820420192973,6.2478,1.4259,2,0.0,False,False,30.283851986542704,21,17.671677230923088,1597461479.641081,in_progress
80,51.0,6.923441217374263,2.129790701390513,105.79022185261915,6.3676,2.1491,0,0.0,False,False,30.89502594901536,21,17.671677230923088,1597461479.7103133,in_progress
