episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
60,1.0,-7.263560593200421,0.8303214959730246,62.185323900490964,-5.0,3.33,9,5.001,False,True,0.23187700799452143,0,60.26571885716431,1606387024.7245915,in_progress
60,2.0,-7.25605121020431,0.8405798822185857,61.65320167859734,17.0,1.2,0,5.001,False,True,0.25275060128847837,0,60.26571885716431,1606387024.7875812,in_progress
60,3.0,-7.242603660169995,0.8641808053413363,61.573238993648864,11.0,2.0,1,5.001,False,True,0.297801218871156,1,60.26571885716431,1606387024.8831267,in_progress
60,4.0,-7.211676297241647,0.9126553660597126,60.602300137867154,-5.0,3.33,9,5.001,False,True,0.39289897562569864,1,60.26571885716431,1606387024.939237,in_progress
60,5.0,-7.1855264667939975,0.957175612179375,60.440059144712656,-11.0,2.1,11,5.001,False,True,0.4784889864934867,1,60.26571885716431,1606387025.0032363,in_progress
60,6.0,-7.1490034816814445,1.009344015917018,59.142010000444714,-0.15,4.3,7,5.001,False,True,0.5837996040147722,1,60.26571885716431,1606387025.0784693,in_progress
60,7.0,-7.09562405682322,1.0781316562904457,56.79528834002448,-5.0,3.33,9,5.001,False,True,0.7264926421686051,1,60.26571885716431,1606387025.1453645,in_progress
60,8.0,-7.037484422488783,1.1475498214803057,54.261332967014994,0.0,4.5,6,5.001,False,True,0.8739078230166333,2,60.26571885716431,1606387025.2157404,in_progress
60,9.0,-6.9400818410451395,1.2535584236605235,50.875182110949375,0.0,4.5,6,5.001,False,True,1.107619429963379,2,60.26571885716431,1606387025.2920177,in_progress
60,10.0,-6.86416865647521,1.3354932909667658,49.2657455794998,-11.0,2.1,11,5.001,False,True,1.2879885239511129,2,60.26571885716431,1606387025.3607543,in_progress
60,11.0,-6.767050923563977,1.4318915344991276,46.996700209941245,-2.0,3.88,8,5.001,False,True,1.5065765316090545,3,60.26571885716431,1606387025.4336033,in_progress
60,12.0,-6.610595886924893,1.5743234612512407,43.96805918282667,-2.0,3.88,8,5.001,False,True,1.8381207072373669,3,60.26571885716431,1606387025.5069473,in_progress
60,13.0,-6.5090370684978165,1.6608093150136374,42.2808146308027,5.0,3.3,3,5.001,False,True,2.0455846154048327,4,60.26571885716431,1606387025.5831158,in_progress
60,14.0,-6.371578561290824,1.7796579665014918,41.34532058018603,-11.0,2.1,11,5.001,False,True,2.316242617561111,4,60.26571885716431,1606387025.6515563,in_progress
60,15.0,-6.212309584116393,1.9107445032646164,40.036448159310275,-2.0,3.88,8,5.001,False,True,2.6319437891555784,5,60.26571885716431,1606387025.7271137,in_progress
60,16.0,-6.068742096646207,2.022737160603942,38.76960153458906,-24.0,1.15,14,5.001,False,True,2.931439358854051,6,60.26571885716431,1606387025.8002596,in_progress
60,17.0,-5.899207540805238,2.1377809332744495,35.51385384481911,-24.0,1.15,14,5.001,False,True,3.311281375612787,6,60.26571885716431,1606387025.886055,in_progress
60,18.0,-5.755304011563063,2.215957506497359,31.52486603104275,-19.0,1.35,13,5.001,False,True,3.6728775918694354,7,60.26571885716431,1606387025.9500573,in_progress
60,19.0,-5.610756849832536,2.278645906461389,27.125266646866198,-11.0,2.1,11,4.002000000000001,False,False,4.082497308804521,8,60.26571885716431,1606387026.0182843,in_progress
60,20.0,-5.482308776270654,2.3233284973865005,23.30999760111892,-15.0,1.6,12,4.002000000000001,False,False,4.724830154285544,10,60.26571885716431,1606387026.0948954,in_progress
60,21.0,-5.325912598460191,2.3631246707105626,18.402822840945667,-11.0,2.1,11,4.002000000000001,False,False,5.427312321518583,13,60.26571885716431,1606387026.1636872,in_progress
60,22.0,-5.214826322192705,2.3834696337566212,15.024223388975745,-11.0,2.1,11,4.002000000000001,False,False,5.782883422282281,14,60.26571885716431,1606387026.2271826,in_progress
60,23.0,-5.125039242483294,2.393645784614518,12.061096114544162,-11.0,2.1,11,4.002000000000001,False,False,6.054555890987276,14,60.26571885716431,1606387026.2976778,in_progress
60,24.0,-4.9596387122192,2.3992809741615746,6.457991338719736,-11.0,2.1,11,4.002000000000001,False,False,6.385688373628678,15,60.26571885716431,1606387026.374297,in_progress
60,25.0,-4.80692996037709,2.3900736644073692,1.2599016815006203,-15.0,1.6,12,5.001,False,True,6.627507655814521,16,60.26571885716431,1606387026.4431868,in_progress
60,26.0,-4.728877191265438,2.378977063292832,-1.6624617461999684,-15.0,1.6,12,5.001,False,True,6.760430893140714,16,60.26571885716431,1606387026.5164115,in_progress
60,27.0,-4.554815472085074,2.341223396768858,-7.7963502611474755,-19.0,1.35,13,5.001,False,True,7.052085307547955,17,60.26571885716431,1606387026.5892599,in_progress
60,28.0,-4.443236599766743,2.3037285146640145,-12.540847668572718,0.0,4.5,6,5.001,False,True,7.204979207594513,17,60.26571885716431,1606387026.6676743,in_progress
60,29.0,-4.305747603100602,2.2450023824004712,-17.960723947031084,8.0,2.75,2,5.001,False,True,7.452229085672133,18,60.26571885716431,1606387026.7288888,in_progress
60,30.0,-4.2027565741097535,2.1871536939354423,-23.249777150366054,11.0,2.0,1,5.001,False,True,7.644716488548118,18,60.26571885716431,1606387026.7948132,in_progress
60,31.0,-4.099815433480285,2.1300722572503386,-26.021581223104384,11.0,2.0,1,5.001,False,True,7.7921486144222065,18,60.26571885716431,1606387026.8512561,in_progress
60,32.0,-3.9662469955407356,2.05486004419643,-27.799842598611114,17.0,1.2,0,5.001,False,True,8.03911812486906,19,60.26571885716431,1606387026.9288385,in_progress
60,33.0,-3.8719594335537337,2.0067637069980386,-27.605970584982,8.0,2.75,2,5.001,False,True,8.197563440853,19,60.26571885716431,1606387027.0023365,in_progress
60,34.0,-3.733933054639945,1.943926259936783,-25.996870947140458,5.0,3.3,3,5.001,False,True,8.418582223419174,19,60.26571885716431,1606387027.0602167,in_progress
60,35.0,-3.6238284346988916,1.8947798677780825,-25.166394872115728,17.0,1.2,0,5.001,False,True,8.615096838222914,20,60.26571885716431,1606387027.1353984,in_progress
60,36.0,-3.481520105677093,1.838555343447123,-23.192901646715416,17.0,1.2,0,4.002000000000001,False,False,8.86888082992528,20,60.26571885716431,1606387027.1879368,in_progress
60,37.0,-3.3672339826407063,1.8007464812352647,-21.045286478926347,17.0,1.2,0,4.002000000000001,False,False,9.067884042350373,21,60.26571885716431,1606387027.2492456,in_progress
60,38.0,-3.275670612090334,1.780699350451669,-17.875612907856926,17.0,1.2,0,4.002000000000001,False,False,9.223391242114081,21,60.26571885716431,1606387027.3216496,in_progress
60,39.0,-3.1637631909557413,1.7644189636523462,-13.853312891506826,17.0,1.2,0,4.002000000000001,False,False,9.416020531251704,21,60.26571885716431,1606387027.3888407,in_progress
60,40.0,-3.06256742653784,1.7590114772314214,-9.739210172684004,-11.0,2.1,11,4.002000000000001,False,False,9.58130365112467,22,60.26571885716431,1606387027.4630468,in_progress
60,41.0,-2.9486342471930818,1.760612365216901,-5.4793935257080895,8.0,2.75,2,4.002000000000001,False,False,9.764376865094446,22,60.26571885716431,1606387027.5433471,in_progress
60,42.0,-2.8075800554625365,1.7696279787706088,-0.9250629127052883,-11.0,2.1,11,5.001,False,True,9.99012400190749,22,60.26571885716431,1606387027.6128945,in_progress
60,43.0,-2.683111320761493,1.7836296405831804,2.3595414663102283,-15.0,1.6,12,5.001,False,True,10.185184015525524,23,60.26571885716431,1606387027.6743786,in_progress
60,44.0,-2.582430036834325,1.7952359399465185,4.000010351624767,0.0,4.5,6,5.001,False,True,10.342854908570196,23,60.26571885716431,1606387027.749165,in_progress
60,45.0,-2.4474410156426383,1.8076711365045137,4.644170579911061,-15.0,1.6,12,5.001,False,True,10.557449406238236,23,60.26571885716431,1606387027.8138006,in_progress
60,46.0,-2.2898016291876333,1.8202653448782062,4.627461817467261,-15.0,1.6,12,5.001,False,True,10.806305137940546,24,60.26571885716431,1606387027.8830156,in_progress
60,47.0,-2.163637781316636,1.822986036343082,3.0403584649290103,-15.0,1.6,12,5.001,False,True,11.006971276353632,24,60.26571885716431,1606387027.9507551,in_progress
60,48.0,-2.046576659363666,1.8207473215001195,1.323954811440749,-15.0,1.6,12,5.001,False,True,11.196499058145019,24,60.26571885716431,1606387028.01762,in_progress
60,49.0,-1.9596525071714483,1.8163697893712496,-0.05494394721203277,-7.5,2.85,10,5.001,False,True,11.338307542402248,25,60.26571885716431,1606387028.0931175,in_progress
60,50.0,-1.820966291066384,1.8030267275336964,-2.7057605951965478,5.0,3.3,3,5.001,False,True,11.558820270214062,25,60.26571885716431,1606387028.1625469,in_progress
60,51.0,-1.6962000074187422,1.7871425547545188,-4.814438678360913,-7.5,2.85,10,5.001,False,True,11.76652228934495,26,60.26571885716431,1606387028.2325933,in_progress
60,52.0,-1.4809631407729669,1.7482846502162719,-8.705637078593737,2.0,3.8,4,5.001,False,True,12.114558919953016,26,60.26571885716431,1606387028.325464,in_progress
60,53.0,-1.3123885267142883,1.7140034012732321,-10.44321670613986,2.0,3.8,4,5.001,False,True,12.399995995661289,27,60.26571885716431,1606387028.3839126,in_progress
60,54.0,-1.1904736386342658,1.686971729719591,-11.51694654787508,-2.0,3.88,8,5.001,False,True,12.588366534214021,27,60.26571885716431,1606387028.440852,in_progress
60,55.0,-0.995060981675765,1.6359436891904762,-13.703320323235,0.0,4.5,6,5.001,False,True,12.921781792493938,28,60.26571885716431,1606387028.5056117,in_progress
60,56.0,-0.7808172213887407,1.5687938754200894,-16.551285834000346,-5.0,3.33,9,5.001,False,True,13.27132308376121,28,60.26571885716431,1606387028.5680673,in_progress
60,57.0,-0.6316809343778401,1.5184029304216353,-17.760492522042533,2.0,3.8,4,5.001,False,True,13.527090213089462,29,60.26571885716431,1606387028.6201952,in_progress
60,58.0,-0.45518804169132143,1.453389510933466,-19.3440241427307,11.0,2.0,1,5.001,False,True,13.828482467618022,29,60.26571885716431,1606387028.6616216,in_progress
60,59.0,-0.3304455371738532,1.4101185795856528,-19.638769897551757,5.0,3.3,3,5.001,False,True,14.042481839726065,30,60.26571885716431,1606387028.7269375,in_progress
